id,name,type
465,安徽室内影视基地,14
466,麦当劳,10
467,酸辣粉,16
468,阿拉伯烤肉,10
469,1912啤酒花园,14
470,ASC意式餐吧,10
471,过桥米线,22
472,德州扑克,10
473,铁板烤肉,10
474,老鸭汤粉丝,11
475,阿里巴巴烤肉,10
476,呱呱香,10
477,周黑鸭,10
478,浦发银行,10
479,全季酒店,10
480,古戏楼,14
481,煌上煌酱鸭,10
482,仟吉蛋糕,16
483,东山羊,10
484,和乐蟹,10
485,幸福饼店,15
486,刘记煎包,10
487,吉祥斋七道菜,10
488,清香餐厅,14
489,红焖羊肉,30
490,大喜龙虾,10
491,二白京味菜,10
492,周家蒸饺,10
493,一心泡泡冰,10
494,洄澜薯道,10
495,戴记扁食,10
496,瑞穗牧场(乳品店),10
497,五霸焦糖包心粉圆,11
498,咖啡花,18
499,液香扁食,10
